
Course,Instructor,Length,Meet-block-policy,Meet-Instructor-Preference,Days,Start,Exempted,Notes,
LING 200,Ferjan-Ramirez,50,y,y,M W F,0830,0920,0,
LING 210,McGarrity,50,-,-,M W F,1430,1520,0,
LING 233,Evans,50,y,y,M W F,0830,0920,0,
LING 432/532,Wassink,110,y,y,M W,1030,1220,0,
LING 433/533,Evans,110,y,y,M W,1230,1420,0,
LING 441/541,Ferjan-Ramirez,110,y,y,M W,1030,1220,0,
LING 450/550,Wassink,110,y,y,M W,1300,1450,0,
LING 461,Hedding,110,y,y,T R,1300,1450,0,
LING 478/578,Ogihara,110,y,y,T R,1300,1450,0,
LING 507,Hedding,110,y,y,T R,0830,1020,0,
LING 566,Bender,80,y,y,T R,1130,1250,0,
LING 580-Cit,Citko,140,-,y,M,1530,1750,0,
LING 580-Che,Cheng,140,-,y,M,1530,1750,0,
LING 580-Ogi,Ogihara,140,-,y,T,1530,1750,0,
LING 580-TBA,TBA,140,-,-,M,1530,1750,0,
LING 599A,lingColloq,140,-,-,F,1530,1750,0,
LING 599B,proseminar,50,y,-,M,1130,1220,0,
,,,,,,,,,
LING 570,Xia,80,y,y,T R,1300,1420,1,
LING 571,Steinert-Threlkeld,80,y,y,M W,1130,1250,1,
LING 575-Ben,Bender,140,-,y,T,1530,1750,1,
,,,,,,,,,
LING 200AA,TA1,50,y,-,T R,1230,1320,0,
LING 200AB,TA1,50,y,-,T R,0830,0920,0,
LING 200AC,TA2,50,y,-,T R,1030,1120,0,
LING 200AD,TA2,50,y,-,T R,1130,1220,0,
LING 200AE,TA3,50,y,-,T R,0930,1020,0,
LING 200AF,TA3,50,y,-,T R,1030,1120,0,
LING 200AG,TA4,50,y,-,T R,0930,1020,0,
LING 200AH,TA4,50,y,-,T R,1230,1320,0,
LING 200AI,TA5,50,y,-,T R,0930,1020,0,
LING 233AA,TA8,50,y,-,R,1330,1420,0,
LING 233AD,TA8,50,y,-,R,1130,1220,0,
LING 233AE,TA8,50,y,-,R,0930,1020,0,
LING 233AF,TA9,50,y,-,R,1330,1420,0,
LING 233AG,TA9,50,y,-,R,1030,1120,0,
LING 233AH,TA9,50,y,-,R,0930,1020,0,
LING 450AA,TA10,50,y,-,M,1030,1120,0,
